Zulu dateTime;measure_temperature;measure_temperature;measure_temperature;
2019-06-16 18:00:00;26,178916666666726;24,55;;
2019-06-16 19:00:00;24,512680555555566;24,29586111111108;;
2019-06-16 20:00:00;23,988625000000322;24,273499999999952;;
2019-06-16 21:00:00;23,486499999999857;24,06583333333308;;
2019-06-16 22:00:00;23,38083333333299;23,92252777777772;27,193194444444416;
2019-06-16 23:00:00;23,310194444444164;23,643430555555742;26,046749999999797;
2019-06-17 00:00:00;23,23786111111116;23,342222222222;25,355361111111144;
2019-06-17 01:00:00;23,118861111111077;23,279805555555487;25,194861111111027;
2019-06-17 02:00:00;23,015222222222533;23,003111111111263;24,536277777777887;
2019-06-17 03:00:00;23,22055555555548;23,021583333333183;24,078944444444325;
2019-06-17 04:00:00;23,16163888888882;22,873027777778066;24,023333333333223;
2019-06-17 05:00:00;22,988138888888816;22,789805555555628;24,018472222222098;
2019-06-17 06:00:00;23,522291666666526;23,23279166666664;23,985111111111323;
2019-06-17 07:00:00;23,32419444444424;23,386027777777798;23,78915277777805;
2019-06-17 08:00:00;24,64647222222213;23,647069444444103;23,917500000000025;
2019-06-17 09:00:00;25,21770833333337;23,88461111111141;23,99611111111098;
2019-06-17 10:00:00;24,17536111111113;23,909888888888762;24,093722222221977;
2019-06-17 11:00:00;23,61227777777755;24,141277777777823;24,054249999999858;
2019-06-17 12:00:00;23,419374999999846;24,119499999999807;24,109666666666325;
2019-06-17 13:00:00;23,355694444444257;24,273111111111085;24,088277777777666;
2019-06-17 14:00:00;23,309999999999953;24,43138888888902;24,195999999999906;
2019-06-17 15:00:00;23,39127777777787;24,35166666666697;25,491333333333337;
2019-06-17 16:00:00;25,17958333333309;24,51918055555563;25,429055555555852;
2019-06-17 17:00:00;25,105236111111047;24,557263888888922;25,151000000000007;
2019-06-17 18:00:00;24,977388888888964;24,67020833333328;25,059847222222437;
2019-06-17 19:00:00;24,43902777777796;24,74562499999992;25,47999999999985;
2019-06-17 20:00:00;24,14872222222224;24,604375;25,599583333333044;
2019-06-17 21:00:00;24,303500000000103;24,62520833333333;25,2665000000002;
2019-06-17 22:00:00;24,45808333333339;24,687083333333337;25,203694444444302;
2019-06-17 23:00:00;24,332041666666843;24,68922222222206;25,319583333333572;
2019-06-18 00:00:00;24,62180555555581;24,72329166666663;25,217305555555534;
2019-06-18 01:00:00;24,233888888888835;24,178805555555357;25,028791666666375;
2019-06-18 02:00:00;23,65454166666648;23,78019444444467;24,628500000000315;
2019-06-18 03:00:00;23,342083333333278;23,608972222222405;24,293611111110977;
2019-06-18 04:00:00;23,274999999999782;23,567291666666964;24,15166666666636;
2019-06-18 05:00:00;23,263333333333147;23,45083333333344;24,141555555555442;
2019-06-18 06:00:00;23,201111111111;23,445000000000096;24,1617777777776;
2019-06-18 07:00:00;23,243888888888677;23,633597222222303;24,335805555555968;
2019-06-18 08:00:00;23,631611111111045;23,996999999999666;24,55890277777784;
2019-06-18 09:00:00;23,676347222222397;24,32269444444461;25,094416666666664;
2019-06-18 10:00:00;23,52493055555517;24,526666666666653;25,269611111111328;
2019-06-18 11:00:00;23,450652777777538;24,58354166666666;25,339805555555763;
2019-06-18 12:00:00;23,403333333333293;24,61541666666662;25,269805555555727;
2019-06-18 13:00:00;23,333527777777775;24,6;25,200583333333377;
2019-06-18 14:00:00;23,625013888889253;24,654791666666643;25,20174999999996;
2019-06-18 15:00:00;23,750430555555706;24,819194444444445;25,632249999999676;
2019-06-18 16:00:00;;;;
